,occupancy,sensor_name,co2,noise,humidity,temperature
2019-11-22 20:15:00+00:00,0,ROOM 4,464.23256429036456,47.99823760986328,39.89538065592448,21.40716044108073
2019-11-22 20:30:00+00:00,0,ROOM 4,462.977783203125,47.93888854980469,40.05222193400065,21.371333440144856
2019-11-22 20:45:00+00:00,0,ROOM 4,461.3444417317708,48.124444325764976,40.1162223815918,21.377222061157227
2019-11-22 21:00:00+00:00,0,ROOM 4,459.1712646484375,48.17000071207682,40.08211135864258,21.382111231486004
2019-11-22 21:15:00+00:00,0,ROOM 4,455.2222188313802,48.239617665608726,40.038953145345054,21.374160766601562
2019-11-22 21:30:00+00:00,0,ROOM 4,456.86667887369794,48.252647399902344,39.98381423950195,21.3822078704834
2019-11-22 21:45:00+00:00,0,ROOM 4,457.46666463216144,48.21934127807617,39.97603861490885,21.35181935628255
2019-11-22 22:00:00+00:00,0,ROOM 4,453.6789245605469,48.02345657348633,39.999289194742836,21.334144592285156
2019-11-22 22:15:00+00:00,0,ROOM 4,452.7678527832031,47.93333435058594,40.098777770996094,21.32288869222005
2019-11-22 22:30:00+00:00,0,ROOM 4,449.31479899088544,47.924444834391274,40.150777180989586,21.32966677347819
2019-11-22 22:45:00+00:00,0,ROOM 4,445.9573262532552,47.96222178141276,40.19677861531576,21.324888865152996
2019-11-22 23:00:00+00:00,0,ROOM 4,446.05555216471356,47.94501876831055,40.27776590983073,21.299517313639324
2019-11-22 23:15:00+00:00,0,ROOM 4,445.3777770996094,47.98404057820638,40.310654958089195,21.295440673828125
2019-11-22 23:30:00+00:00,0,ROOM 4,442.77777099609375,47.975686391194664,40.340798695882164,21.29620933532715
2019-11-22 23:45:00+00:00,0,ROOM 4,444.67087809244794,47.93927256266276,40.391030629475914,21.277114868164062
2019-11-25 00:00:00+00:00,0,ROOM 4,462.1444396972656,48.51555633544922,42.39366658528646,20.986111323038738
2019-11-25 00:15:00+00:00,0,ROOM 4,460.2000020345052,48.50999959309896,42.42911020914713,20.960777282714844
2019-11-25 00:30:00+00:00,0,ROOM 4,462.28965250651044,48.52923456827799,42.42437489827474,20.983823776245117
2019-11-25 00:45:00+00:00,0,ROOM 4,462.26666259765625,48.49555587768555,42.46322250366211,20.973000208536785
2019-11-25 01:00:00+00:00,0,ROOM 4,463.6222229003906,48.58333206176758,42.46444320678711,20.984111150105793
2019-11-25 01:15:00+00:00,0,ROOM 4,463.9620666503906,48.557778676350914,42.50077819824219,20.964111328125
2019-11-25 01:30:00+00:00,0,ROOM 4,459.4888916015625,48.559042612711586,42.535850524902344,20.949180603027344
2019-11-25 01:45:00+00:00,0,ROOM 4,465.2111104329427,48.563332875569664,42.54400126139323,20.96588897705078
