,occupancy,sensor_name,co2,noise,humidity,temperature
2019-11-20 17:45:00+00:00,0,ROOM 4,526.1111043294271,60.831607818603516,36.429144541422524,21.78399658203125
2019-11-20 18:00:00+00:00,0,ROOM 4,541.3555501302084,60.598889668782554,36.261444091796875,21.813444137573242
2019-11-20 18:15:00+00:00,0,ROOM 4,528.6666666666666,60.41999944051107,35.91244379679362,21.76533381144206
2019-11-20 18:30:00+00:00,0,ROOM 4,565.6498209635416,61.01222229003906,35.98455556233724,21.883999506632488
2019-11-20 18:45:00+00:00,0,ROOM 4,592.7999877929688,59.941149393717446,35.95882670084635,21.945545832316082
2019-11-20 19:00:00+00:00,0,ROOM 4,559.9777628580729,59.70888900756836,35.65322240193685,21.922333399454754
2019-11-20 19:15:00+00:00,0,ROOM 4,579.0555623372396,58.151110331217446,35.565667470296226,21.965111414591473
2019-11-20 19:30:00+00:00,0,ROOM 4,585.9195353190104,58.14398447672526,35.52318445841471,21.96920331319173
2019-11-20 19:45:00+00:00,0,ROOM 4,570.8000081380209,56.33777618408203,35.97888946533203,22.012000401814777
2019-11-20 20:00:00+00:00,0,ROOM 4,547.4333292643229,54.787776947021484,36.16699981689453,22.065554936726887
2019-11-20 20:15:00+00:00,0,ROOM 4,538.6340942382812,53.07881291707357,36.20232899983724,22.066352208455402
2019-11-20 20:30:00+00:00,0,ROOM 4,547.0889078776041,51.38111114501953,36.318555196126304,21.942111333211262
