;occupancy;co2;noise;humidity;temperature;room
2019-11-21 13:00:00+00:00;0;680,2354431;52,40304629;33,87750308;22,92629496;5
2019-11-21 13:30:00+00:00;1;994,6695353;56,75706863;34,41113408;23,00023746;5
2019-11-21 14:00:00+00:00;0;789,9745178;52,40258662;34,87410227;22,37540785;5
2019-11-21 14:30:00+00:00;0;541,9791158;52,25666682;34,77699979;22,34694417;5
2019-11-21 15:00:00+00:00;0;621,4670512;51,88754781;34,70438957;22,45620473;5
2019-11-21 15:30:00+00:00;0;603,1199239;51,37944412;34,66433334;22,23694452;5
2019-11-21 16:00:00+00:00;0;557,3888957;51,47971217;34,38283475;22,16928164;5
2019-11-21 16:30:00+00:00;0;543,8333333;51,66065152;34,52272224;21,92305374;5
2019-11-21 17:00:00+00:00;0;526,9055583;51,21500015;34,20788892;22,17450015;5
2019-11-21 17:30:00+00:00;0;507,7980804;50,5481809;34,40947723;21,79216894;5
2019-11-21 18:00:00+00:00;0;498,0172373;50,25944455;34,82450104;21,48488871;5
2019-11-21 18:30:00+00:00;0;487,8777771;49,7491951;35,1454099;21,32875665;5
2019-11-21 19:00:00+00:00;0;474,9674377;49,82833354;35,32188924;21,26311143;5
2019-11-21 19:30:00+00:00;0;462,9666697;49,3006134;35,66326841;21,30703831;5
2019-11-21 20:00:00+00:00;0;449,8982798;49,36080424;36,03196335;21,31792164;5
2019-11-21 20:30:00+00:00;0;449,7611033;48,88166618;36,21200053;21,29938889;5
2019-11-21 21:00:00+00:00;0;456,0595856;48,69034449;36,51339277;21,29435476;5
2019-11-21 21:30:00+00:00;0;456,5756734;48,74611028;36,78761101;21,32055537;5
2019-11-21 22:00:00+00:00;0;453,2055562;48,79268138;37,18671481;21,25472228;5
2019-11-21 22:30:00+00:00;0;459,7113037;48,80708758;37,33027204;21,27024682;5
2019-11-21 23:00:00+00:00;0;455,6444448;48,79500008;37,46383349;21,28561115;5
2019-11-21 23:30:00+00:00;0;451,7337189;48,81153234;37,68178304;21,24659411;5
2019-11-22 00:00:00+00:00;0;450,9940643;48,69500033;37,95527776;21,17850018;5
2019-11-22 00:30:00+00:00;0;449,649999;48,66375415;38,0631822;21,1783851;5
2019-11-22 01:00:00+00:00;0;448,9082387;48,5530262;38,25713793;21,13079325;5
2019-11-22 01:30:00+00:00;0;447,6111094;48,56741397;38,46178246;21,06623936;5
2019-11-22 02:00:00+00:00;0;446,8352458;48,52783521;38,60835711;21,04031595;5
2019-11-22 02:30:00+00:00;0;448,6047923;48,51388868;38,81722196;20,98272196;5
2019-11-22 03:00:00+00:00;0;446,4919586;48,5067819;38,92749405;20,97968578;5
2019-11-22 03:30:00+00:00;0;442,7565155;48,3594443;39,08855565;20,96088854;5
2019-11-22 04:00:00+00:00;0;444,5;48,41760572;39,11815898;20,99779669;5
2019-11-22 04:30:00+00:00;0;443,8201192;48,21689606;39,26762835;20,9681743;5
2019-11-22 05:00:00+00:00;0;442,3833364;48,16888936;39,42555682;20,93816662;5
2019-11-22 05:30:00+00:00;0;442,9653219;50,12540309;39,34783618;20,84662056;5
2019-11-22 06:00:00+00:00;0;442,3112996;49,94888878;38,32472229;21,1416111;5
2019-11-22 06:30:00+00:00;0;438,0555623;50,80028725;37,64040248;21,43161488;5
2019-11-22 07:00:00+00:00;0;436,4063314;51,14708837;37,95886358;21,2747701;5
2019-11-22 07:30:00+00:00;0;430,4666595;51,15624555;38,63294411;20,9797376;5
2019-11-22 08:00:00+00:00;0;426,5580495;51,75482814;39,13960139;20,95368385;5
2019-11-22 08:30:00+00:00;0;430,5463562;54,58722242;39,96577835;21,02994442;5
2019-11-22 09:00:00+00:00;1;434,01916;56,08473269;40,18422953;21,67966461;5
2019-11-22 09:30:00+00:00;0;447,0701141;52,47611173;40,34383392;21,71227741;5
2019-11-22 10:00:00+00:00;1;478,3777771;55,94049772;40,4161396;22,04806741;5
2019-11-22 10:30:00+00:00;1;590,966095;54,50115013;40,56178538;22,25176207;5
2019-11-22 11:00:00+00:00;1;566,5499878;65,20222155;40,46361097;22,17827733;5
2019-11-22 11:30:00+00:00;1;609,2143656;70,70241419;40,53909047;22,13642724;5
2019-11-22 12:00:00+00:00;1;668,9849243;59,10500018;39,85950025;22,17094421;5
2019-11-22 12:30:00+00:00;1;684,35554;58,84130287;39,09957695;22,13764922;5
2019-11-22 13:00:00+00:00;1;791,0984599;57,38111051;39,03399976;22,08566697;5
2019-11-22 13:30:00+00:00;0;755,672231;52,41915703;39,8618234;22,12690767;5
2019-11-22 14:00:00+00:00;0;634,0168559;51,52944438;39,54837926;22,28204377;5
2019-11-22 14:30:00+00:00;1;570,8333435;58,93833288;40,13522212;22,10227776;5
2019-11-22 15:00:00+00:00;0;573,3710632;53,71904755;39,55782445;22,14020252;5
2019-11-22 15:30:00+00:00;0;568,205363;53,28944397;39,55988884;22,0826664;5
2019-11-22 16:00:00+00:00;0;634,8722229;63,14635976;39,03798294;22,13616085;5
2019-11-22 16:30:00+00:00;0;639,8873088;62,03270086;39,76284281;21,67492739;5
2019-11-22 17:00:00+00:00;0;592,75;58,82178116;39,97176743;21,59475676;5
2019-11-22 17:30:00+00:00;0;553,0030721;55,46040217;40,08935102;21,52116521;5
2019-11-22 18:00:00+00:00;0;526,9277852;54,30791664;39,88293139;21,58479182;5
